Messpunkt,Differenzdruck,Durchfluss,Durchfluss_unkorrigiert,Poti_Wert,Vorschub,Durchmesser,Abtastung,Zeit,RUL
1,0,13.0761841974425,8.047454,15,3,19,10,0.1,71.9
2,0,63.1537533346648,41.62782,15,3,19,10,0.2,71.8
3,0,74.4833900757966,49.54953,15,3,19,10,0.3,71.7
4,0,78.3701365670612,52.19011,15,3,19,10,0.4,71.6
5,0,80.0897492018973,53.61024,15,3,19,10,0.5,71.5
6,1.085069,80.2358841439094,53.73598,15,3,19,10,0.6,71.4
7,2.622251,80.5625435056983,54.01705,15,3,19,10,0.7,71.3
8,3.797743,80.8806025925477,54.29072,15,3,19,10,0.8,71.2
9,4.882812,81.026749156553,54.41647,15,3,19,10,0.9,71.1
10,8.590133,80.8204355339509,54.23895,15,3,19,10,1,71
11,8.590133,80.6657003169994,54.10581,15,3,19,10,1.1,70.9
12,8.590133,81.0352908985052,54.42387,15,3,19,10,1.2,70.8
13,8.680555,81.1113738458878,54.49043,15,3,19,10,1.3,70.7
14,9.856047,80.493776172162,53.95788,15,3,19,10,1.4,70.6
15,8.590133,80.4765872442762,53.94309,15,3,19,10,1.5,70.5
16,8.409288,80.6742889699457,54.1132,15,3,19,10,1.6,70.4
17,8.590133,80.717290344643,54.1502,15,3,19,10,1.7,70.3
18,9.856047,80.9923596787883,54.38688,15,3,19,10,1.8,70.2
19,11.6645,80.7602684753541,54.18718,15,3,19,10,1.9,70.1
20,11.21238,80.6313224612278,54.07623,15,3,19,10,2,70
21,10.03689,80.7258789975894,54.15759,15,3,19,10,2.1,69.9
22,11.30281,80.2358841439094,53.73598,15,3,19,10,2.2,69.8
23,11.30281,80.8462247367762,54.26114,15,3,19,10,2.3,69.7
24,10.03689,80.5367543028731,53.99486,15,3,19,10,2.4,69.6
25,10.03689,79.9006361291742,53.44752,15,3,19,10,2.5,69.5
26,10.03689,81.0009599537277,54.39428,15,3,19,10,2.6,69.4
27,10.03689,80.6742889699457,54.1132,15,3,19,10,2.7,69.3
28,8.680555,80.5281656499268,53.98747,15,3,19,10,2.8,69.2
29,13.11126,80.5367543028731,53.99486,15,3,19,10,2.9,69.1
30,13.74421,80.8204355339509,54.23895,15,3,19,10,3,69
31,11.84534,81.162103431297,54.53481,15,3,19,10,3.1,68.9
32,11.30281,80.7688571283004,54.19457,15,3,19,10,3.2,68.8
33,11.57407,80.1327389546016,53.64723,15,3,19,10,3.3,68.7
34,11.84534,80.4164085636862,53.89131,15,3,19,10,3.4,68.6
35,11.84534,80.2358841439094,53.73598,15,3,19,10,3.5,68.5
36,13.56337,80.8892028674872,54.29812,15,3,19,10,3.6,68.4
37,14.37717,80.9751707509025,54.37209,15,3,19,10,3.7,68.3
38,15.10055,81.3819392552244,54.72713,15,3,19,10,3.8,68.2
39,16.27604,81.0691030016238,54.45345,15,3,19,10,3.9,68.1
40,13.74421,80.7688571283004,54.19457,15,3,19,10,4,68
41,11.21238,80.7000897947641,54.1354,15,3,19,10,4.1,67.9
42,11.21238,80.2186952160236,53.72119,15,3,19,10,4.2,67.8
43,11.21238,81.153656120883,54.52742,15,3,19,10,4.3,67.7
44,11.84534,81.5763874249847,54.89724,15,3,19,10,4.4,67.6
45,11.30281,81.3565630317885,54.70493,15,3,19,10,4.5,67.5
46,11.84534,81.2551038609701,54.61617,15,3,19,10,4.6,67.4
47,12.11661,81.5256578395755,54.85286,15,3,19,10,4.7,67.3
48,11.93576,80.5969329834631,54.04664,15,3,19,10,4.8,67.2
49,11.21238,81.1874682240016,54.557,15,3,19,10,4.9,67.1
50,11.84534,80.7000897947641,54.1354,15,3,19,10,5,67
51,10.03689,80.906391795373,54.31291,15,3,19,10,5.1,66.9
52,11.84534,80.7430679254751,54.17238,15,3,19,10,5.2,66.8
53,11.30281,81.7032113885078,55.00819,15,3,19,10,5.3,66.7
54,11.30281,80.966570475963,54.36469,15,3,19,10,5.4,66.6
55,11.30281,80.8806025925477,54.29072,15,3,19,10,5.5,66.5
56,11.39323,81.2804686536747,54.63836,15,3,19,10,5.6,66.4
57,11.84534,81.119832587033,54.49783,15,3,19,10,5.7,66.3
58,13.74421,80.7430679254751,54.17238,15,3,19,10,5.8,66.2
59,13.38252,80.7774574032399,54.20197,15,3,19,10,5.9,66.1
60,12.56872,80.9751707509025,54.37209,15,3,19,10,6,66
61,11.30281,81.153656120883,54.52742,15,3,19,10,6.1,65.9
62,11.84534,81.0606556912098,54.44606,15,3,19,10,6.2,65.8
63,13.11126,80.8204355339509,54.23895,15,3,19,10,6.3,65.7
64,13.74421,81.58484616613,54.90464,15,3,19,10,6.4,65.6
65,16.27604,81.0775617427691,54.46085,15,3,19,10,6.5,65.5
66,16.27604,81.58484616613,54.90464,15,3,19,10,6.6,65.4
67,16.909,81.4664809437523,54.80109,15,3,19,10,6.7,65.3
68,13.11126,81.58484616613,54.90464,15,3,19,10,6.8,65.2
69,13.74421,80.9149920703125,54.32031,15,3,19,10,6.9,65.1
70,13.74421,80.7258789975894,54.15759,15,3,19,10,7,65
71,15.01013,80.9923596787883,54.38688,15,3,19,10,7.1,64.9
72,16.27604,81.2212917578515,54.58659,15,3,19,10,7.2,64.8
73,16.909,80.9579818230167,54.3573,15,3,19,10,7.3,64.7
74,15.01013,80.28746254956,53.78036,15,3,19,10,7.4,64.6
75,15.01013,81.2466565505561,54.60878,15,3,19,10,7.5,64.5
76,16.909,80.9321926201914,54.33511,15,3,19,10,7.6,64.4
77,18.17491,81.2043742755609,54.57179,15,3,19,10,7.7,64.3
78,16.909,81.3903865656385,54.73452,15,3,19,10,7.8,64.2
79,16.909,81.0860204839144,54.46825,15,3,19,10,7.9,64.1
80,16.909,80.966570475963,54.36469,15,3,19,10,8,64
81,16.909,80.863413664662,54.27593,15,3,19,10,8.1,63.9
82,16.909,80.4679869693368,53.93569,15,3,19,10,8.2,63.8
83,16.909,80.9407812731378,54.3425,15,3,19,10,8.3,63.7
84,16.909,80.7860576781794,54.20937,15,3,19,10,8.4,63.6
85,16.36646,80.9321926201914,54.33511,15,3,19,10,8.5,63.5
86,15.01013,81.0775617427691,54.46085,15,3,19,10,8.6,63.4
87,15.01013,81.0181488816135,54.40907,15,3,19,10,8.7,63.3
88,16.27604,81.1790209135876,54.54961,15,3,19,10,8.8,63.2
89,16.81858,80.657111664053,54.09842,15,3,19,10,8.9,63.1
90,16.909,81.7962118181809,55.08955,15,3,19,10,9,63
91,18.80787,81.9145770405586,55.1931,15,3,19,10,9.1,62.9
92,18.80787,81.9991301598177,55.26707,15,3,19,10,9.2,62.8
93,18.62703,82.17668370875,55.4224,15,3,19,10,9.3,62.7
94,18.80787,82.1090480717815,55.36323,15,3,19,10,9.4,62.6
95,20.07379,82.3542372576823,55.57773,15,3,19,10,9.5,62.5
96,15.01013,81.3481157213745,54.69754,15,3,19,10,9.6,62.4
97,16.27604,81.162103431297,54.53481,15,3,19,10,9.7,62.3
98,16.909,80.8376244618367,54.25374,15,3,19,10,9.8,62.2
99,15.01013,81.4495748921929,54.7863,15,3,19,10,9.9,62.1
100,16.27604,81.5087517880162,54.83807,15,3,19,10,10,62
101,16.909,81.0352908985052,54.42387,15,3,19,10,10.1,61.9
102,21.97266,80.3734304329752,53.85433,15,3,19,10,10.2,61.8
103,21.97266,80.4421977665115,53.9135,15,3,19,10,10.3,61.7
104,21.24928,80.8720139396015,54.28333,15,3,19,10,10.4,61.6
105,20.43547,80.5797440555773,54.03185,15,3,19,10,10.5,61.5
106,21.3397,81.1790209135876,54.54961,15,3,19,10,10.6,61.4
107,18.80787,81.2128330167062,54.57919,15,3,19,10,10.7,61.3
108,18.80787,80.966570475963,54.36469,15,3,19,10,10.8,61.2
109,18.44618,80.717290344643,54.1502,15,3,19,10,10.9,61.1
110,18.17491,80.6141219113489,54.06143,15,3,19,10,11,61
111,18.17491,80.5969329834631,54.04664,15,3,19,10,11.1,60.9
112,18.08449,81.3142921875246,54.66795,15,3,19,10,11.2,60.8
113,20.07379,81.0691030016238,54.45345,15,3,19,10,11.3,60.7
114,20.07379,80.923592345252,54.32771,15,3,19,10,11.4,60.6
115,20.07379,81.4495748921929,54.7863,15,3,19,10,11.5,60.5
116,21.3397,81.4242100994883,54.76411,15,3,19,10,11.6,60.4
117,20.07379,81.6186696999799,54.93423,15,3,19,10,11.7,60.3
118,21.97266,81.5341165807208,54.86026,15,3,19,10,11.8,60.2
119,23.87153,81.1959269651469,54.5644,15,3,19,10,11.9,60.1
120,23.78111,82.0329536936677,55.29666,15,3,19,10,12,60
121,21.88223,81.4833869953116,54.81588,15,3,19,10,12.1,59.9
122,21.97266,81.1959269651469,54.5644,15,3,19,10,12.2,59.8
123,21.24928,80.330440680271,53.81734,15,3,19,10,12.3,59.7
124,21.3397,81.4411161510477,54.7789,15,3,19,10,12.4,59.6
125,21.97266,80.6313224612278,54.07623,15,3,19,10,12.5,59.5
126,21.24928,81.0775617427691,54.46085,15,3,19,10,12.6,59.4
127,18.80787,81.0181488816135,54.40907,15,3,19,10,12.7,59.3
128,19.98336,81.162103431297,54.53481,15,3,19,10,12.8,59.2
129,19.89294,80.7430679254751,54.17238,15,3,19,10,12.9,59.1
130,21.3397,81.0606556912098,54.44606,15,3,19,10,13,59
131,21.3397,81.0691030016238,54.45345,15,3,19,10,13.1,58.9
132,21.97266,81.2297390682655,54.59398,15,3,19,10,13.2,58.8
133,23.87153,80.2788622746205,53.77296,15,3,19,10,13.3,58.7
134,23.41941,80.8376244618367,54.25374,15,3,19,10,13.4,58.6
135,23.60026,80.1499278824873,53.66202,15,3,19,10,13.5,58.5
136,25.04702,81.026749156553,54.41647,15,3,19,10,13.6,58.4
137,26.31293,81.407304047929,54.74932,15,3,19,10,13.7,58.3
138,23.87153,81.28892739482,54.64576,15,3,19,10,13.8,58.2
139,23.23857,81.6440344926845,54.95642,15,3,19,10,13.9,58.1
140,23.23857,81.6355757515392,54.94902,15,3,19,10,14,58
141,23.23857,80.4336091135652,53.90611,15,3,19,10,14.1,57.9
142,23.78111,80.4078082887468,53.88391,15,3,19,10,14.2,57.8
143,25.04702,80.7860576781794,54.20937,15,3,19,10,14.3,57.7
144,25.04702,80.3648417800289,53.84694,15,3,19,10,14.4,57.6
145,23.23857,80.966570475963,54.36469,15,3,19,10,14.5,57.5
146,23.23857,81.5172105291615,54.84547,15,3,19,10,14.6,57.4
147,23.50984,82.2358606045732,55.47417,15,3,19,10,14.7,57.3
148,23.23857,82.0329536936677,55.29666,15,3,19,10,14.8,57.2
149,21.97266,82.5064145831786,55.71086,15,3,19,10,14.9,57.1
150,23.14815,82.3796020503869,55.59992,15,3,19,10,15,57
151,23.14815,82.1513189160454,55.40021,15,3,19,10,15.1,56.9
152,23.14815,82.3796020503869,55.59992,15,3,19,10,15.2,56.8
153,23.87153,82.6332499774329,55.82182,15,3,19,10,15.3,56.7
154,23.87153,82.6163324951423,55.80702,15,3,19,10,15.4,56.6
155,23.23857,82.5909677024377,55.78483,15,3,19,10,15.5,56.5
156,23.78111,82.7093329248155,55.88838,15,3,19,10,15.6,56.4
157,24.41406,82.6924268732562,55.87359,15,3,19,10,15.7,56.3
158,25.04702,82.9037925253071,56.0585,15,3,19,10,15.8,56.2
159,25.04702,82.4641437389147,55.67388,15,3,19,10,15.9,56.1
