Messpunkt,Differenzdruck,Durchfluss,Durchfluss_unkorrigiert,Poti_Wert,Vorschub,Durchmesser,Abtastung,Zeit,RUL
1,0,43.0564412175919,27.0714,15,1,19,10,0.1,227.2
2,0,66.8799883068948,44.23141,15,1,19,10,0.2,227.1
3,0,75.9233037890949,50.45191,15,1,19,10,0.3,227
4,0,78.6372959771892,52.38981,15,1,19,10,0.4,226.9
5,1.446759,79.9608031877711,53.49929,15,1,19,10,0.5,226.8
6,4.521122,80.2186952160236,53.72119,15,1,19,10,0.6,226.7
7,6.510417,80.5625435056983,54.01705,15,1,19,10,0.7,226.6
8,8.318866,80.9837710258419,54.37949,15,1,19,10,0.8,226.5
9,8.951823,80.8548250117157,54.26854,15,1,19,10,0.9,226.4
10,10.21774,80.6657003169994,54.10581,15,1,19,10,1,226.3
11,12.11661,80.5023764471015,53.96528,15,1,19,10,1.1,226.2
12,11.48365,80.2272954909631,53.72859,15,1,19,10,1.2,226.1
13,11.48365,80.7774574032399,54.20197,15,1,19,10,1.3,226
14,11.75492,80.7946463311256,54.21676,15,1,19,10,1.4,225.9
15,12.20703,80.7774574032399,54.20197,15,1,19,10,1.5,225.8
16,13.2921,80.3820190859215,53.86172,15,1,19,10,1.6,225.7
17,15.01013,80.6313224612278,54.07623,15,1,19,10,1.7,225.6
18,15.28139,81.2128330167062,54.57919,15,1,19,10,1.8,225.5
19,15.28139,81.0009599537277,54.39428,15,1,19,10,1.9,225.4
20,15.28139,81.0352908985052,54.42387,15,1,19,10,2,225.3
21,15.28139,81.026749156553,54.41647,15,1,19,10,2.1,225.2
22,15.28139,80.7946463311256,54.21676,15,1,19,10,2.2,225.1
23,15.28139,80.9751707509025,54.37209,15,1,19,10,2.3,225
24,15.19097,80.6915011418178,54.12801,15,1,19,10,2.4,224.9
25,15.28139,80.9493815480772,54.3499,15,1,19,10,2.5,224.8
26,15.19097,81.1282913281783,54.50523,15,1,19,10,2.6,224.7
27,13.38252,80.5797440555773,54.03185,15,1,19,10,2.7,224.6
28,11.48365,80.6657003169994,54.10581,15,1,19,10,2.8,224.5
29,11.48365,80.0295821433005,53.55847,15,1,19,10,2.9,224.4
30,12.11661,80.8806025925477,54.29072,15,1,19,10,3,224.3
31,13.38252,80.4765872442762,53.94309,15,1,19,10,3.1,224.2
32,13.38252,80.4250088386257,53.89871,15,1,19,10,3.2,224.1
33,14.01548,81.2466565505561,54.60878,15,1,19,10,3.3,224
34,14.01548,80.8806025925477,54.29072,15,1,19,10,3.4,223.9
35,13.38252,80.6399111141741,54.08362,15,1,19,10,3.5,223.8
36,12.4783,80.5797440555773,54.03185,15,1,19,10,3.6,223.7
37,11.21238,81.3481157213745,54.69754,15,1,19,10,3.7,223.6
38,8.951823,80.6313224612278,54.07623,15,1,19,10,3.8,223.5
39,8.951823,80.7774574032399,54.20197,15,1,19,10,3.9,223.4
40,11.12196,81.0606556912098,54.44606,15,1,19,10,4,223.3
41,11.6645,80.7516682004146,54.17978,15,1,19,10,4.1,223.2
42,12.11661,81.0606556912098,54.44606,15,1,19,10,4.2,223.1
43,10.21774,80.5367543028731,53.99486,15,1,19,10,4.3,223
44,12.11661,80.450798041451,53.9209,15,1,19,10,4.4,222.9
45,14.01548,80.6055332584025,54.05404,15,1,19,10,4.5,222.8
46,15.28139,80.6484997671204,54.09101,15,1,19,10,4.6,222.7
47,16.54731,80.4765872442762,53.94309,15,1,19,10,4.7,222.6
48,14.01548,80.7860576781794,54.20937,15,1,19,10,4.8,222.5
49,13.38252,81.1959269651469,54.5644,15,1,19,10,4.9,222.4
50,15.28139,81.3988453067837,54.74192,15,1,19,10,5,222.3
51,15.10055,80.7860576781794,54.20937,15,1,19,10,5.1,222.2
52,15.28139,80.7086900697036,54.1428,15,1,19,10,5.2,222.1
53,12.11661,81.28892739482,54.64576,15,1,19,10,5.3,222
54,13.38252,80.9149920703125,54.32031,15,1,19,10,5.4,221.9
55,14.01548,80.9579818230167,54.3573,15,1,19,10,5.5,221.8
56,14.01548,80.7344792725288,54.16499,15,1,19,10,5.6,221.7
57,13.38252,81.0860204839144,54.46825,15,1,19,10,5.7,221.6
58,12.29745,81.28892739482,54.64576,15,1,19,10,5.8,221.5
59,11.6645,81.162103431297,54.53481,15,1,19,10,5.9,221.4
60,12.29745,80.8462247367762,54.26114,15,1,19,10,6,221.3
61,13.11126,80.7516682004146,54.17978,15,1,19,10,6.1,221.2
62,13.74421,80.8376244618367,54.25374,15,1,19,10,6.2,221.1
63,14.19633,80.9579818230167,54.3573,15,1,19,10,6.3,221
64,15.46224,81.1282913281783,54.50523,15,1,19,10,6.4,220.9
65,14.1059,80.6399111141741,54.08362,15,1,19,10,6.5,220.8
66,13.74421,80.9923596787883,54.38688,15,1,19,10,6.6,220.7
67,14.19633,80.9837710258419,54.37949,15,1,19,10,6.7,220.6
68,14.19633,80.9149920703125,54.32031,15,1,19,10,6.8,220.5
