Messpunkt,Differenzdruck,Durchfluss,Durchfluss_unkorrigiert,Poti_Wert,Vorschub,Durchmesser,Abtastung,Zeit,RUL
1,0,0.468723477989957,0.2884657,15,1,19,10,0.1,245.3
2,0,51.9407556091307,33.21793,15,1,19,10,0.2,245.2
3,0,70.3813203980954,46.56133,15,1,19,10,0.3,245.1
4,0,76.8759569297159,51.07322,15,1,19,10,0.4,245
5,0,78.6867813381338,52.4268,15,1,19,10,0.5,244.9
6,0,79.7459009122227,53.31438,15,1,19,10,0.6,244.8
7,0,80.6915011418178,54.12801,15,1,19,10,0.7,244.7
8,1.446759,81.1029265354737,54.48304,15,1,19,10,0.8,244.6
9,1.898872,81.2551038609701,54.61617,15,1,19,10,0.9,244.5
10,1.989294,81.0691030016238,54.45345,15,1,19,10,1,244.4
11,2.622251,81.3481157213745,54.69754,15,1,19,10,1.1,244.3
12,3.255208,80.7774574032399,54.20197,15,1,19,10,1.2,244.2
13,3.164786,80.8032466060651,54.22416,15,1,19,10,1.3,244.1
14,4.340278,81.0352908985052,54.42387,15,1,19,10,1.4,244
15,5.063657,81.0352908985052,54.42387,15,1,19,10,1.5,243.9
16,6.419994,80.6829008668783,54.12061,15,1,19,10,1.6,243.8
17,6.419994,81.0009599537277,54.39428,15,1,19,10,1.7,243.7
18,5.15408,80.717290344643,54.1502,15,1,19,10,1.8,243.6
19,5.15408,81.153656120883,54.52742,15,1,19,10,1.9,243.5
20,8.499711,81.458022202607,54.79369,15,1,19,10,2,243.4
21,8.228443,81.3988453067837,54.74192,15,1,19,10,2.1,243.3
22,8.228443,80.9923596787883,54.38688,15,1,19,10,2.2,243.2
23,6.962529,81.1705621724423,54.54221,15,1,19,10,2.3,243.1
24,6.419994,81.2804686536747,54.63836,15,1,19,10,2.4,243
25,7.052951,80.9751707509025,54.37209,15,1,19,10,2.5,242.9
26,8.318866,80.9493815480772,54.3499,15,1,19,10,2.6,242.8
27,7.052951,81.3819392552244,54.72713,15,1,19,10,2.7,242.7
28,8.228443,81.162103431297,54.53481,15,1,19,10,2.8,242.6
29,7.414641,81.1029265354737,54.48304,15,1,19,10,2.9,242.5
30,7.414641,81.0009599537277,54.39428,15,1,19,10,3,242.4
31,8.861401,80.8548250117157,54.26854,15,1,19,10,3.1,242.3
32,8.951823,81.3903865656385,54.73452,15,1,19,10,3.2,242.2
33,9.765625,81.4411161510477,54.7789,15,1,19,10,3.3,242.1
34,10.12731,81.5341165807208,54.86026,15,1,19,10,3.4,242
35,10.12731,81.458022202607,54.79369,15,1,19,10,3.5,241.9
36,11.39323,81.7285761812124,55.03038,15,1,19,10,3.6,241.8
37,10.12731,81.407304047929,54.74932,15,1,19,10,3.7,241.7
38,8.861401,81.1790209135876,54.54961,15,1,19,10,3.8,241.6
39,8.861401,81.1113738458878,54.49043,15,1,19,10,3.9,241.5
40,8.318866,81.8131293004715,55.10435,15,1,19,10,4,241.4
41,7.052951,81.7370349223577,55.03778,15,1,19,10,4.1,241.3
42,8.228443,82.0752245379316,55.33364,15,1,19,10,4.2,241.2
43,8.861401,81.6863053369484,54.9934,15,1,19,10,4.3,241.1
44,8.228443,81.5172105291615,54.84547,15,1,19,10,4.4,241
45,8.861401,81.2212917578515,54.58659,15,1,19,10,4.5,240.9
46,8.228443,80.9493815480772,54.3499,15,1,19,10,4.6,240.8
47,11.39323,81.2635626021154,54.62357,15,1,19,10,4.7,240.7
48,8.951823,81.5594813734254,54.88245,15,1,19,10,4.8,240.6
49,10.21774,81.4326574099023,54.7715,15,1,19,10,4.9,240.5
