Messpunkt,Differenzdruck,Durchfluss,Durchfluss_unkorrigiert,Poti_Wert,Vorschub,Durchmesser,Abtastung,Zeit,RUL
1,0,0,0,15,2,19,10,0.1,125.7
2,0,39.2850987961291,24.65272,15,2,19,10,0.2,125.6
3,0,65.4756762326868,43.21069,15,2,19,10,0.3,125.5
4,0,75.2505632346428,50.03031,15,2,19,10,0.4,125.4
5,0,78.6669818425409,52.412,15,2,19,10,0.5,125.3
6,0,79.7802903899874,53.34397,15,2,19,10,0.6,125.2
7,0,80.0209818683611,53.55107,15,2,19,10,0.7,125.1
8,0,79.814668245759,53.37355,15,2,19,10,0.8,125
9,1.356337,80.7430679254751,54.17238,15,2,19,10,0.9,124.9
10,1.356337,80.3648417800289,53.84694,15,2,19,10,1,124.8
11,4.159433,80.657111664053,54.09842,15,2,19,10,1.1,124.7
12,5.15408,80.3734304329752,53.85433,15,2,19,10,1.2,124.6
13,5.87746,80.6227221862883,54.06883,15,2,19,10,1.3,124.5
14,6.419994,80.3132633743784,53.80256,15,2,19,10,1.4,124.4
15,6.510417,80.4336091135652,53.90611,15,2,19,10,1.5,124.3
16,6.962529,79.91782505706,53.46231,15,2,19,10,1.6,124.2
17,7.505064,80.2788622746205,53.77296,15,2,19,10,1.7,124.1
18,6.419994,79.7201117093974,53.29219,15,2,19,10,1.8,124
19,7.685908,80.7516682004146,54.17978,15,2,19,10,1.9,123.9
20,8.318866,81.0352908985052,54.42387,15,2,19,10,2,123.8
21,8.318866,80.5109651000478,53.97267,15,2,19,10,2.1,123.7
22,9.58478,80.3218520273247,53.80995,15,2,19,10,2.2,123.6
23,8.228443,80.9837710258419,54.37949,15,2,19,10,2.3,123.5
24,7.595486,80.6915011418178,54.12801,15,2,19,10,2.4,123.4
25,8.318866,80.4679869693368,53.93569,15,2,19,10,2.5,123.3
26,8.318866,80.5453545778125,54.00226,15,2,19,10,2.6,123.2
27,6.419994,80.9837710258419,54.37949,15,2,19,10,2.7,123.1
28,6.419994,80.9407812731378,54.3425,15,2,19,10,2.8,123
29,6.419994,80.0897492018973,53.61024,15,2,19,10,2.9,122.9
30,8.318866,80.1069497517763,53.62504,15,2,19,10,3,122.8
31,9.675202,80.923592345252,54.32771,15,2,19,10,3.1,122.7
32,8.499711,80.9149920703125,54.32031,15,2,19,10,3.2,122.6
33,8.499711,80.1069497517763,53.62504,15,2,19,10,3.3,122.5
